Partner,Type,Slug,Route,Notion source,Readiness,Public approval,Missing fields,Conflicts,Media status,Review owner,Last updated
"The Austonian","property","the-austonian","/partners/launch/buildings/the-austonian","39b2e63f902b81639448c55804aed46b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Catherine","property","the-catherine","/partners/launch/buildings/the-catherine","39b2e63f902b8117b06cdb5850c59f71","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Independent","property","the-independent","/partners/launch/buildings/the-independent","39b2e63f902b81e2b6c8eae12dbdc5ab","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Modern Austin","operator","the-modern","/partners/launch/organizations/the-modern","3a12e63f902b81c8a079cd215aeb0943","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Monarch by Windsor","property","the-monarch-by-windsor","/partners/launch/buildings/the-monarch-by-windsor","39b2e63f902b81839745f60fc8479f58","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Quincy","property","the-quincy","/partners/launch/buildings/the-quincy","39b2e63f902b81e298a3f489bd86ccb2","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Rainey House","venue","the-rainey-house","/partners/launch/rainey/the-rainey-house","39b2e63f902b8128b34ce3a3ae473abb","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Republic","operator","the-republic","/partners/launch/organizations/the-republic","3a12e63f902b817ca572c796bdb354c5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Shore","property","the-shore","/partners/launch/buildings/the-shore","39b2e63f902b8164b694d4373752fa8e","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"The Shore Condominiums","property","the-shore-condominiums","/partners/launch/buildings/the-shore-condominiums","39b2e63f902b816ebba8f09c013aec5f","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"The Stay Put","venue","the-stay-put","/partners/launch/rainey/the-stay-put","39b2e63f902b81de8c47de4e8df37fc1","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"The Tipsy Alchemist","venue","the-tipsy-alchemist","/partners/launch/rainey/the-tipsy-alchemist","39b2e63f902b81bb80ddd86cbdc3f6b0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Tiffany Matthews — Lobo Hospitality","individual","tiffany-matthews-lobo-hospitality","/partners/launch/people/tiffany-matthews-lobo-hospitality","3a12e63f902b810c9480fa2b1eaca508","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Tito’s","brand","titos","/partners/launch/brands/titos","3a12e63f902b81fa8d95cd5f805f1024","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Topo Chico","brand","topo-chico","/partners/launch/brands/topo-chico","3a12e63f902b815dbeede40315840539","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Tribeza","media","tribeza","/partners/launch/media/tribeza","3a12e63f902b811e9acec14ad34d3453","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Twelve Thirty Club","venue","twelve-thirty-club","/partners/launch/organizations/twelve-thirty-club","3a12e63f902b8139b831d1e50348e3b7","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"ULI Austin","media","uli-austin","/partners/launch/media/uli-austin","3a12e63f902b81569c83da5c3645eaf9","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Vesper","property","vesper","/partners/launch/buildings/vesper","39b2e63f902b8162ab75d2c4c73c3bb9","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Victory Lap","venue","victory-lap","/partners/launch/rainey/victory-lap","39b2e63f902b81b389c8ea8dd6704cfd","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Visit Austin","media","visit-austin","/partners/launch/media/visit-austin","39b2e63f902b81fc9a14dda7e6ae9874","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Waller Creek Pub House","brand","waller-creek-pub-house","/partners/launch/brands/waller-creek-pub-house","39b2e63f902b81379850ced0936b98d0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Waterline / 1 Hotel Austin","property","waterline-1-hotel-austin","/partners/launch/buildings/waterline-1-hotel-austin","39b2e63f902b81cdb90ef7ef095d9a90","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Waterline Residences / Bosque at Waterline","property","waterline-residences-bosque-at-waterline","/partners/launch/buildings/waterline-residences-bosque-at-waterline","39b2e63f902b81c5ad07d1a59b955af7","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Waterloo Greenway","civic","waterloo-greenway","/partners/launch/civic/waterloo-greenway","39b2e63f902b81e7a8f1ddebde6e0c67","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Waterloo Park","civic","waterloo-park","/partners/launch/civic/waterloo-park","39b2e63f902b81f1a3adf5ee0fc4596b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Waterloo Sparkling Water","brand","waterloo-sparkling-water","/partners/launch/brands/waterloo-sparkling-water","3a12e63f902b8135a217cfd0994e8f27","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Waterloo Weekend Events","civic","waterloo-weekend-events","/partners/launch/civic/waterloo-weekend-events","39b2e63f902b81d5ac15f76c732b98d1","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Watr","venue","watr","/partners/launch/venues/watr","3a12e63f902b812dab60dbdea98d2122","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"We All Ride Mosaics","civic","we-all-ride-mosaics","/partners/launch/civic/we-all-ride-mosaics","39b2e63f902b8187adabd889b69d1bea","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"White Lodging","hotel","white-lodging","/partners/launch/hotels/white-lodging","3a12e63f902b81efb8e5ed56a076da65","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Whole Foods Market","brand","whole-foods-market","/partners/launch/brands/whole-foods-market","3a12e63f902b8130aeeac1ec08b7cce9","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Windsor on the Lake","property","windsor-on-the-lake","/partners/launch/buildings/windsor-on-the-lake","39b2e63f902b81b2b286cf99614558a5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Worth Ross regional leadership","operator","worth-ross-regional-leadership","/partners/launch/organizations/worth-ross-regional-leadership","3a12e63f902b814baf06eb08e0410da8","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"YETI","brand","yeti","/partners/launch/brands/yeti","39b2e63f902b811a83c7ce99846d500b","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"YETI Austin","brand","yeti-austin","/partners/launch/brands/yeti-austin","39b2e63f902b81e6bc93d798504cc9a9","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Legends Real Estate","real-estate","legends-real-estate","/partners/launch/organizations/legends-real-estate","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"LV Collective","operator","lv-collective","/partners/launch/organizations/lv-collective","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Travis","property","the-travis","/partners/launch/buildings/the-travis","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Bowie","property","the-bowie","/partners/launch/buildings/the-bowie","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"5 Fifty Five","property","5-fifty-five","/partners/launch/buildings/5-fifty-five","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Fairmont Austin","hotel","fairmont-austin","/partners/launch/hotels/fairmont-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Four Seasons Austin","hotel","four-seasons-austin","/partners/launch/hotels/four-seasons-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The LINE Austin","hotel","the-line-austin","/partners/launch/hotels/the-line-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Driskill","hotel","the-driskill","/partners/launch/hotels/the-driskill","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"JW Marriott Austin","hotel","jw-marriott-austin","/partners/launch/hotels/jw-marriott-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"W Austin","hotel","w-austin","/partners/launch/hotels/w-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Thompson Austin","hotel","thompson-austin","/partners/launch/hotels/thompson-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Marriott Downtown","hotel","marriott-downtown","/partners/launch/hotels/marriott-downtown","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Omni Austin","hotel","omni-austin","/partners/launch/hotels/omni-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Hyatt Centric","hotel","hyatt-centric","/partners/launch/hotels/hyatt-centric","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"CitizenM","hotel","citizenm","/partners/launch/hotels/citizenm","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Hotel ZaZa","hotel","hotel-zaza","/partners/launch/hotels/hotel-zaza","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rainey Ventures","operator","rainey-ventures","/partners/launch/organizations/rainey-ventures","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Larry & Guy","venue","larry-and-guy","/partners/launch/venues/larry-and-guy","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Liddle Griddle","venue","liddle-griddle","/partners/launch/venues/liddle-griddle","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Codependent","venue","codependent","/partners/launch/venues/codependent","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Home Slice","venue","home-slice","/partners/launch/venues/home-slice","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Mexic-Arte Museum","civic","mexic-arte-museum","/partners/launch/civic/mexic-arte-museum","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"The Contemporary Austin","civic","the-contemporary-austin","/partners/launch/civic/the-contemporary-austin","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"ZACH Theatre","civic","zach-theatre","/partners/launch/civic/zach-theatre","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Women & Their Work","civic","women-and-their-work","/partners/launch/civic/women-and-their-work","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Classical Guitar","civic","austin-classical-guitar","/partners/launch/civic/austin-classical-guitar","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Bat Cave","civic","austin-bat-cave","/partners/launch/civic/austin-bat-cave","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Big Medium","civic","big-medium","/partners/launch/civic/big-medium","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Explore ATX","media","explore-atx","/partners/launch/media/explore-atx","Unknown","incomplete","No","canonical source; approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
