view,id,name,district,category,type,pin,address,listingOrPerk,panelMeta,panelHeadline,panelBody,detailCopy,primaryActions,image,source
"Resident","311-w-5th-st-unit-803-legends-property-311-w-5th-st-unit-803-austin-tx-78701-9682559","311 W 5th ST Unit: 803","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 803","Listed: $2,800,000.00 | MLS: 9682559","Residential Property · Downtown Austin","311 W 5th ST Unit: 803","Gorgeous Executive Jr Penthouse, fully furnished and available for a 6 to 12+ month lease in the exclusive Plaza Lofts. Ideal for Corporate Rental this loft is perfectly located in the heart of downtown Austin, Texas with dining, arts, entertainment, recreation all within walking","Resident perk: Listed: $2,800,000.00 | MLS: 9682559. Value: Listed: $2,800,000.00 | MLS: 9682559. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-unit-803-legends-property-311-w-5th-st-unit-803-austin-tx-78701-9682559","311 W 5th ST Unit: 803","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 803","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST Unit: 803","Gorgeous Executive Jr Penthouse, fully furnished and available for a 6 to 12+ month lease in the exclusive Plaza Lofts. Ideal for Corporate Rental this loft is perfectly located in the heart of downtown Austin, Texas with dining, arts, entertainment, recreation all within walking","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-unit-806-legends-property-311-w-5th-st-unit-806-austin-tx-78701-4495763","311 W 5th ST Unit: 806","Downtown Austin","Residential Property","property","Legends","311 W 5th ST # 806","Property Discovery","Residential Property · Downtown Austin","311 W 5th ST Unit: 806","NEW PRICE and ONE MONTH FREE! Perfectly located and fully furnished luxury lease in the Plaza Lofts downtown Austin with city and hill country views. The location is ideal for this north-facing 1BD | 1BA condo in the heart of downtown Austin, Texas, within walking distance to din","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-unit-806-legends-property-311-w-5th-st-unit-806-austin-tx-78701-4495763","311 W 5th ST Unit: 806","Downtown Austin","Residential Property","property","Legends","311 W 5th ST # 806","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST Unit: 806","NEW PRICE and ONE MONTH FREE! Perfectly located and fully furnished luxury lease in the Plaza Lofts downtown Austin with city and hill country views. The location is ideal for this north-facing 1BD | 1BA condo in the heart of downtown Austin, Texas, within walking distance to din","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-unit-806-legends-property-311-w-5th-st-unit-806-austin-tx-78701-9800518","311 W 5th ST Unit: 806","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 806","Property Discovery","Residential Property · Downtown Austin","311 W 5th ST Unit: 806","Great lease in the Plaza Lofts downtown Austin with city and hill country views. Location is ideal with this north-facing 1BD | 1BA condo in the heart of downtown Austin, Texas, within walking distance to dining, arts, entertainment, Lady Bird Lake, trails, and so much more. The","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-unit-806-legends-property-311-w-5th-st-unit-806-austin-tx-78701-9800518","311 W 5th ST Unit: 806","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 806","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST Unit: 806","Great lease in the Plaza Lofts downtown Austin with city and hill country views. Location is ideal with this north-facing 1BD | 1BA condo in the heart of downtown Austin, Texas, within walking distance to dining, arts, entertainment, Lady Bird Lake, trails, and so much more. The","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-unit-902-legends-property-311-w-5th-st-unit-902-austin-tx-78701-1169093","311 W 5th ST Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 902","Property Discovery","Residential Property · Downtown Austin","311 W 5th ST Unit: 902","Exquisite southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and available in July for 3 to 12+ month lease in the exclusive Plaza Lofts. Ideal for Executive or transitional clients, this loft is located in the heart of downtown Austin, T","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-unit-902-legends-property-311-w-5th-st-unit-902-austin-tx-78701-1169093","311 W 5th ST Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST Unit: 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST Unit: 902","Exquisite southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and available in July for 3 to 12+ month lease in the exclusive Plaza Lofts. Ideal for Executive or transitional clients, this loft is located in the heart of downtown Austin, T","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-2166147","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W # 902","Listed: $1,325,000.00 | MLS: 2166147","Residential Property · Downtown Austin","311 W 5th ST W # 902","PRICE EDIT Elegant Downtown Loft Overlooking Republic Square Park Live at the intersection of downtown sophistication and timeless design in this stunning 2BD | 2BA corner loft overlooking Republic Square Park. Located in Austin's sought-after Plaza Lofts, Residence #902 offers a","Resident perk: Listed: $1,325,000.00 | MLS: 2166147. Value: Listed: $1,325,000.00 | MLS: 2166147. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-2166147","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W # 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST W # 902","PRICE EDIT Elegant Downtown Loft Overlooking Republic Square Park Live at the intersection of downtown sophistication and timeless design in this stunning 2BD | 2BA corner loft overlooking Republic Square Park. Located in Austin's sought-after Plaza Lofts, Residence #902 offers a","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-6777134","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST # 902","Listed: $1,325,000.00 / $7,500.00/MONTH","Residential Property · Downtown Austin","311 W 5th ST W # 902","Live at the intersection of downtown sophistication and timeless design in this stunning 2BD | 2BA corner loft overlooking Republic Square Park. Located in Austin's sought-after Plaza Lofts, Residence #902 offers an exclusive opportunity to live in a beautifully remodeled corner","Resident perk: Listed: $1,325,000.00 / $7,500.00/MONTH. Value: Listed: $1,325,000.00 / $7,500.00/MONTH. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-6777134","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST # 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST W # 902","Live at the intersection of downtown sophistication and timeless design in this stunning 2BD | 2BA corner loft overlooking Republic Square Park. Located in Austin's sought-after Plaza Lofts, Residence #902 offers an exclusive opportunity to live in a beautifully remodeled corner","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-6477661","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W # 902","Listed: $1,375,000.00","Residential Property · Downtown Austin","311 W 5th ST W # 902","PRICE IMPROVEMENT Elegant Downtown Loft with Stunning Views and Refined Living Welcome to this exquisite 2-bedroom, 2-bathroom corner loft at Plaza Lofts, a masterpiece of modern sophistication and urban convenience. Expansive Manhattan-inspired layout to enjoy the grandeur of 11","Resident perk: Listed: $1,375,000.00. Value: Listed: $1,375,000.00. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-w-902-legends-property-311-w-5th-st-w-902-austin-tx-us-78701-6477661","311 W 5th ST W # 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W # 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST W # 902","PRICE IMPROVEMENT Elegant Downtown Loft with Stunning Views and Refined Living Welcome to this exquisite 2-bedroom, 2-bathroom corner loft at Plaza Lofts, a masterpiece of modern sophistication and urban convenience. Expansive Manhattan-inspired layout to enjoy the grandeur of 11","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-w-unit-902-legends-property-311-w-5th-st-w-unit-902-austin-tx-78701-1046145","311 W 5th ST W Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W Unit: 902","Property Discovery","Residential Property · Downtown Austin","311 W 5th ST W Unit: 902","Landlord Says Lease It | New Price and Available Now! This exquisite Southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and turnkey, with beautiful city views and gorgeous sunsets! Available November 1st for lease in the exclusive Plaza L","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-w-unit-902-legends-property-311-w-5th-st-w-unit-902-austin-tx-78701-1046145","311 W 5th ST W Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W Unit: 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST W Unit: 902","Landlord Says Lease It | New Price and Available Now! This exquisite Southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and turnkey, with beautiful city views and gorgeous sunsets! Available November 1st for lease in the exclusive Plaza L","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-w-unit-902-legends-property-311-w-5th-st-w-unit-902-austin-tx-78701-5986414","311 W 5th ST W Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W Unit: 902","Property Discovery","Residential Property · Downtown Austin","311 W 5th ST W Unit: 902","Fantastic location in the heart of Downtown Austin with beautiful city views and gorgeous sunsets! This exquisite southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and available NOW for 4 to 12+ month lease in the exclusive Plaza Lofts.","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-w-unit-902-legends-property-311-w-5th-st-w-unit-902-austin-tx-78701-5986414","311 W 5th ST W Unit: 902","Downtown Austin","Residential Property","property","Legends","311 W 5th ST W Unit: 902","Create Property Plan","Residential Property · Downtown Austin","311 W 5th ST W Unit: 902","Fantastic location in the heart of Downtown Austin with beautiful city views and gorgeous sunsets! This exquisite southwest-facing 2BD | 2BA corner loft condo overlooks Republic Square Park. Fully furnished and available NOW for 4 to 12+ month lease in the exclusive Plaza Lofts.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","311-w-5th-st-1008-legends-property-311-w-5th-st-1008","311 W 5th St, #1008","Downtown Austin","Residential Property","property","Legends","311 West 5th Street, Unit 1008","Listed: $559,000.00 | MLS: 9510253","Residential Property · Downtown Austin","311 W 5th St, #1008","Beautiful modern loft in 78701. Featuring 1 bedroom 1.5 baths with open floor plan, soaring 11ft ceilings with industrial style exposed vents/pipes. Floor-to-ceiling windows allow for abundant natural light. Designed for easy living and entertaining in a spacious kitchen with top","Resident perk: Listed: $559,000.00 | MLS: 9510253. Value: Listed: $559,000.00 | MLS: 9510253. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","311-w-5th-st-1008-legends-property-311-w-5th-st-1008","311 W 5th St, #1008","Downtown Austin","Residential Property","property","Legends","311 West 5th Street, Unit 1008","Create Property Plan","Residential Property · Downtown Austin","311 W 5th St, #1008","Beautiful modern loft in 78701. Featuring 1 bedroom 1.5 baths with open floor plan, soaring 11ft ceilings with industrial style exposed vents/pipes. Floor-to-ceiling windows allow for abundant natural light. Designed for easy living and entertaining in a spacious kitchen with top","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","360-condominiums-way-328839215","360 Condominiums","Downtown Austin","Residential Property","property","Residential","360, Nueces Street, Austin, TX, 78701","Property Discovery","Residential Property · Downtown Austin","360 Condominiums","Residential Property listing in Downtown Austin.","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","360-condominiums-way-328839215","360 Condominiums","Downtown Austin","Residential Property","property","Residential","360, Nueces Street, Austin, TX, 78701","Create Property Plan","Residential Property · Downtown Austin","360 Condominiums","Residential Property listing in Downtown Austin.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","360-nueces-st-2601-legends-property-360-nueces-st-2601-austin-tx-us-78701-3862590","360 Nueces ST # 2601","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 2601","Property Discovery","Residential Property · Downtown Austin","360 Nueces ST # 2601","Enjoy breathtaking views of the downtown Austin skyline, Lady Bird Lake, and the hill country from this SE corner unit featuring floor-to-ceiling windows. This beautiful and true one-bedroom residence includes a private balcony and one reserved secure garage parking space. The op","Resident perk: Property Discovery. Value: Ask about availability. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","360-nueces-st-2601-legends-property-360-nueces-st-2601-austin-tx-us-78701-3862590","360 Nueces ST # 2601","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 2601","Create Property Plan","Residential Property · Downtown Austin","360 Nueces ST # 2601","Enjoy breathtaking views of the downtown Austin skyline, Lady Bird Lake, and the hill country from this SE corner unit featuring floor-to-ceiling windows. This beautiful and true one-bedroom residence includes a private balcony and one reserved secure garage parking space. The op","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-6332882","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Listed: $1,700,000.00 | MLS: 6332882","Residential Property · Downtown Austin","360 Nueces ST # 4305","MAJOR PRICE REDUCTION TO $1,700,000 SELLER MOTIVATED | MOVE-IN READY Penthouse 4305 at 360 Condominiums is now available at a major price reduction and represents one of the most compelling penthouse opportunities in downtown Austin. Priced at $1,700,000, this residence is now pr","Resident perk: Listed: $1,700,000.00 | MLS: 6332882. Value: Listed: $1,700,000.00 | MLS: 6332882. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-6332882","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Create Property Plan","Residential Property · Downtown Austin","360 Nueces ST # 4305","MAJOR PRICE REDUCTION TO $1,700,000 SELLER MOTIVATED | MOVE-IN READY Penthouse 4305 at 360 Condominiums is now available at a major price reduction and represents one of the most compelling penthouse opportunities in downtown Austin. Priced at $1,700,000, this residence is now pr","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-1553128","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Listed: $1,700,000.00","Residential Property · Downtown Austin","360 Nueces ST # 4305","Rising above the energy of downtown Austin, the east-facing penthouse at 360 Condominiums offers a front-row seat to the city&rsquo;s ever-evolving skyline. Walls of windows fill the home with morning light and frame uninterrupted views of Lady Bird Lake, the glittering cityscape","Resident perk: Listed: $1,700,000.00. Value: Listed: $1,700,000.00. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-1553128","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Create Property Plan","Residential Property · Downtown Austin","360 Nueces ST # 4305","Rising above the energy of downtown Austin, the east-facing penthouse at 360 Condominiums offers a front-row seat to the city&rsquo;s ever-evolving skyline. Walls of windows fill the home with morning light and frame uninterrupted views of Lady Bird Lake, the glittering cityscape","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Listed: $1,799,999.00","Residential Property · Downtown Austin","360 Nueces ST # 4305","This east-facing penthouse at the prestigious 360 Condominiums presents an extraordinary opportunity to own a premier residence in Downtown Austin at exceptional value. Now offered at $1,799,999, this home is priced below the seller&rsquo;s acquisition cost and offers 2,070 squar","Resident perk: Listed: $1,799,999.00. Value: Listed: $1,799,999.00. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Create Property Plan","Residential Property · Downtown Austin","360 Nueces ST # 4305","This east-facing penthouse at the prestigious 360 Condominiums presents an extraordinary opportunity to own a premier residence in Downtown Austin at exceptional value. Now offered at $1,799,999, this home is priced below the seller&rsquo;s acquisition cost and offers 2,070 squar","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-4809817","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Listed: $1,950,000.00","Residential Property · Downtown Austin","360 Nueces ST # 4305","Motivated Seller &ndash; Exceptional Value for a Downtown Austin Penthouse This exclusive offering at the coveted 360 Condominiums is unmatched: no other property in Downtown Austin combines penthouse living, Lady Bird Lake and city views, home automation, premium parking, and ov","Resident perk: Listed: $1,950,000.00. Value: Listed: $1,950,000.00. Resident onboarding, building-level perks, and local engagement Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Legends Property Export (2026-02-27)"
"Partner","360-nueces-st-4305-legends-property-360-nueces-st-4305-austin-tx-us-78701-4809817","360 Nueces ST # 4305","Downtown Austin","Residential Property","property","Legends","360 Nueces ST # 4305","Create Property Plan","Residential Property · Downtown Austin","360 Nueces ST # 4305","Motivated Seller &ndash; Exceptional Value for a Downtown Austin Penthouse This exclusive offering at the coveted 360 Condominiums is unmatched: no other property in Downtown Austin combines penthouse living, Lady Bird Lake and city views, home automation, premium parking, and ov","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","","Legends Property Export (2026-02-27)"
"Resident","legends-sale-360-nueces-st-1007","360 Nueces St #1007","Downtown Austin","Residential Property","property","Legends","360 Nueces St #1007, Austin, TX 78701","Exclusive Property Access","Legends Real Estate · Residential Property · Downtown Austin","360 Nueces St #1007","Want to live here? This Downtown Austin residence is listed at $529,000. 1 bed • 1 bath • 852 sq ft • 12 days on market. Downtown Perks residents can contact Legends Real Estate for details, availability, private tour options, and property access that may not always be visible on other listing sites.","Resident perk: Exclusive Property Access. Value: $529,000 · 1 bd · 1 ba · 852 sq ft. 360 Nueces St #1007 is available through Legends Real Estate. Downtown Perks residents can contact Legends to discover availability, showing options, and property opportunities that may not always be easy to find on other listing sites. Use it: Use the contact form to ask about availability, showing times, private tour options, and similar downtown properties.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/legends-listings/y6irl6fpch4lh0hfs6fw.png","Legends Real Estate verified listing layer"
"Partner","legends-sale-360-nueces-st-1007","360 Nueces St #1007","Downtown Austin","Residential Property","property","Legends","360 Nueces St #1007, Austin, TX 78701","Create Property Plan","Legends Real Estate · Residential Property · Downtown Austin","360 Nueces St #1007","Want to live here? This Downtown Austin residence is listed at $529,000. 1 bed • 1 bath • 852 sq ft • 12 days on market. Downtown Perks residents can contact Legends Real Estate for details, availability, private tour options, and property access that may not always be visible on other listing sites.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/legends-listings/y6irl6fpch4lh0hfs6fw.png","Legends Real Estate verified listing layer"
"Resident","legends-sale-360-nueces-st-1018","360 Nueces St #1018","Downtown Austin","Residential Property","property","Legends","360 Nueces St #1018, Austin, TX 78701","Exclusive Property Access","Legends Real Estate · Residential Property · Downtown Austin","360 Nueces St #1018","Want to live here? This Downtown Austin residence is listed at $459,770. 1 bed • 1 bath • 760 sq ft • 76 days on market. Downtown Perks residents can contact Legends Real Estate for details, availability, private tour options, and property access that may not always be visible on other listing sites.","Resident perk: Exclusive Property Access. Value: $459,770 · 1 bd · 1 ba · 760 sq ft. 360 Nueces St #1018 is available through Legends Real Estate. Downtown Perks residents can contact Legends to discover availability, showing options, and property opportunities that may not always be easy to find on other listing sites. Use it: Use the contact form to ask about availability, showing times, private tour options, and similar downtown properties.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/legends-listings/knmt6mphvu2ntfdhb0bw.avif","Legends Real Estate verified listing layer"
"Partner","legends-sale-360-nueces-st-1018","360 Nueces St #1018","Downtown Austin","Residential Property","property","Legends","360 Nueces St #1018, Austin, TX 78701","Create Property Plan","Legends Real Estate · Residential Property · Downtown Austin","360 Nueces St #1018","Want to live here? This Downtown Austin residence is listed at $459,770. 1 bed • 1 bath • 760 sq ft • 76 days on market. Downtown Perks residents can contact Legends Real Estate for details, availability, private tour options, and property access that may not always be visible on other listing sites.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/legends-listings/knmt6mphvu2ntfdhb0bw.avif","Legends Real Estate verified listing layer"
